question,answer
Egy rendszer nem lehet része egy nagyobb egységnek (rendszernek).,hamis
"Egy szervezet koordinációja, ha struktúrális, az a szabályok, szabályzatok betartását követeli meg.",hamis
"Egy szervezetben a vezetői irányítás megléte nem fontos, sőt elhanyagolható.",hamis
Egy szállítási rekord létrehozásakor a beszerzéshez és a könyveléshez vonatkozóan nem kell minden releváns adatot egy lépésben megadni.,igaz
"Egy uzleti celú alkalmazas retegszerkezetenek kialakitasa soran olyan rendszerfelbontasra torekszunk, hogy miden reteg transzparens az osszes felette elhelyezkedo reteg szamara.",hamis
"Egy vastagkliens megoldásokra épülő vállalati információs rendszer biztonsági szempontból kedvezőbb, mint egy vékonykliensre épülő.",hamis
Egy vevőtörzs rekord (vendor master record) létrehozásakor abeszerzéshez és könyveléshez vonatkozóan minden relevánsadatot egy lépésben kell megadni.,hamis
Egy virtuális gép formájában elérhető hardver és operációs rendszer szolgáltatás infrastruktúraszolgáltatásnak tekinthető.,igaz
"Egy vállalatirányítási rendszer folyamattesztelésének a célja az, hogy feltárja a rendszer teljesítőképességeit a válaszidők és az átbocsátóképesség tekintetében.",hamis
"Egy vállalatirányítási rendszer folyamattesztelésének a célja az, hogy nem a feldolgozás sebességét, hanem az üzleti folyamatok helyességét és teljességét ellenőrizzük.",igaz
"Egy vállalatirányítási rendszer teljesítménytesztelésének célja az, hogy megvalósítja-e a specifikációban foglalt funkciókat.",hamis
"Egy vállalatirányítási rendszer teljesítménytesztelésének célja nem az, hogy megvalósítja-e a specifikációban foglalt funkciókat.",igaz
Egy értékesítési szervezet (sales organization) csak egy vállalathoz (company code) tartozhat.,igaz
Egy értékesítési szervezet (sales organization) több vállalathoz (company code) is tartozhat.,hamis
Egy üzleti alkalmazás adatelérési rétegéhez kapcsolódó szervezeti réteget mediátornak nevezzük.,igaz
Egy üzleti alkalmazás egyes rétegei különállóan implementálhatóak.,igaz
"Egy üzleti célú alkalmazás rétegszerkezetének kialakítása során olyan rendszer felbontásra törekszünk, hogy minden réteg csak a két közvetlen szomszédjával álljon kapcsolatban.",igaz
"Egy üzleti célú alkalmazás rétegszerkezetének kialakítása során olyan rendszer felbontásra törekszünk, hogy minden réteg minden réteggel közvetlen kapcsolatban álljon.",hamis
"Egy üzleti célú alkalmazás rétegszerkezetének kialakítása során olyan rendszerfelbontásra törekszünk, hogy minden réteg csak a két közvetlen szomszédjával álljon kapcsolatban.",igaz
"Előfeldolgozásos adathiba feltárás hátránya, hogy kisebb eséllyel kerül hiba a rendszerbe.",hamis
"Előfeldolgozásos adathiba feltárás hátránya, hogy össze kell szervezni a megfelelő alapfolyamatokkal.",igaz
Fel lehet venni utólag is az árut eladás (raktárból kiküldéselőtt),hamis
"Formai adatszabvány az, ami az ismeretek megjelenési formáját szabályozzák.",igaz
Gyártási megrendelésből (production order) tervrendelés (planed order) képezhető.,hamis
"Ha történik egy erőforrásmegszűnés, akkor RTO-n múlik, hogy mennyi idő alatt tudom helyreállítani a rendszert, illetve az RPO jelzi azt, hogy mennyi adatvesztést engedek meg.",igaz
"Helytelen értékekről beszélünk, ha az adathibát a hibásan bevitt adatok, hibásan gyűjtött adat, adatforrás hibás, elmaradt beállítás okozza.",igaz
"Háttérfeldolgozásos adathiba feltárás esetén előny, hogy beengedi a hibákat.",hamis
"Háttérfeldolgozásos adathiba feltárás esetén előny, hogy bármelyik rendszerhez csatolható, átalakítás nélkül.",igaz
"Háttérfeldolgozásos adathiba feltárás esetén előny, hogy mérhető a rendszer adatminősége.",igaz
"Információnak nevezzük, a valóságra vonatkozó tapasztalatokat, általánosításokat, fogalmakat.",hamis
"Információs rendszer fő összetevői: Ember (döntéshozó),Rendszerezett információ ,Technikai apparátus (HW, SW)",igaz
"Információs rendszer technikai megközelítésből az adatok bevétele, tárolása, feldolgozása, rendelkezésre bocsátása, kiadása.",igaz
"Információs rendszer technikai megközelítéséből az információk bevétele tárolása, feldolgozása, rendelkezésre bocsátása, kiadása.",hamis
"Információs technológiával működő rendszerekkel szemben funkcionális követelmény a külső, belső fenyegetések elleni védelem",hamis
Információs technológiával működő rendszerekkel szemben funkcionális követelmény a tárolás módja.,igaz
Információs technológiával működő rendszerekkel szemben funkcionális követelmény az adatfeldolgozási feladat (algoritmusok).,igaz
Információs technológiával működő rendszerekkel szemben funkcionális követelmény az ember gép kapcsolat módja.,igaz
"Integrált vállalatirányítási rendszerrel kapcsolatosan követelmény, hogy jogosultágnak megfelelő hozzáférés.",igaz
"Integrált vállalatirányítási rendszerrel kapcsolatosan nem követelmény, hogy segítse a rövid és középtávú tervezést",hamis
"Inverz adatszabvány típus, ha helyes értékre állítjuk fel a szabályt.",hamis
"Irányitószám, telefonszám (adatfajta kategóriában) azt jelenti, hogy csonkolással földrajzi-közIgatási körzetekre jellemző adat nyerhető.",igaz
Jellegzetes hibás adatminőség kapcsán ködös definicióként értendő az üres érték.,hamis
Karakteres adatfajtával minden aritmtikai művelet elvégezthető.,hamis
"Karakteres: semmiféle művelet nem végezhető velük, adattartalommal nem összefüggő (maximum rendezni tudjuk, pl. ABC..) Pl: földrajzi nevek",igaz
Komplex információs rendszer nem moduláris módon épül fel.,hamis
Komplex információs rendszerek kritériuma az egy adatbázison keresztül történő információ csere.,igaz
"Komplex információs rendszerek kritériumai közé tartozik a duplikáció kizárása, felhasználói jogosultsági rendszer, egységes user interface és a vállalati igény kielégítés.",igaz
Komplex információs rendszereknél egységes kell hogy legyen a user interface.,igaz
"Lineáris funkcionális szervezeti forma esetén a törzsegység szakértői véleményt alkotnak, és utasítási joguk is van.",hamis
Lineáris szervezeti forma összetett és sok az adminisztráció.,hamis
"Lineáris szervezeti forma: sok adminisztráció, magasak a költségek, a szervezet nem tagolható tovább szélességében és mélységében.",hamis
"Lineáris szervezetnél: egyszerű kapcsolatok, alacsony költség.",igaz
"Lineáris szervezetnél: egyszerű kapcsolatok, magas költségek.",hamis
Magyarországon az előfeldolgozás az elterjedt adathiba feltárási módszer.,hamis
Magyarországon az háttér-feldolgozásos adathiba a legelterjedtebb.,igaz
Magyarországon nem a háttérfeldolgozásos adathiba feltárás a legjellemzőbb.,hamis
"Mező szintű adathiba (értékkészlet, [>150év feletti életkor] )",igaz
"Minden információ adat, de nem minden adat információ.",igaz
Napjainkban a vállalatirányitási rendszerei jellemzően háromrétegű architektúrára épülnek,igaz
"Olyan termék is értékesíthető, ami nem szerepel az anyagtörzsben, mivel lehetőség van annak felvitelére még a számla kiegyenlítése előtt.",hamis
"Olyan termék is értékesíthető, mely nincs raktáron jelenleg",hamis
Operatív működést képező feladatok: tranzakció feldolgozás.,igaz
RPO jelentése Recovery Point objective,igaz
RTO jelentése Recovery Time objective.,igaz
RTP jelentese Recovery Time Protocol.,igaz
Shipping point több üzemhez is hozzá lehet rendelve .,igaz
Tervrendelésből (planned order) gyártási megrendelés(production order) képezhető.,igaz
Transportation planning point csak egy üzemhez tartozhat.,igaz
Vezetői jelentéseknél 3-4 %-os eltérés engedhető csak meg.,hamis
Vezetőket támogató rendszerek kategóriába tartoznak a döntéstámogató rendszerek.,igaz
"Vállalati műveleteket támogató rendszerek a Adatbeviteli rendszerek (RFID, vonalkód, QR).",igaz
Vállalati műveleteket támogató rendszerek a műszaki tervező rendszerek (CAD),igaz
"a vállalati alkalmazások között megvalósított integráció jellemzői eltérnek aszerint, hogy azt melyik rétegben végzik el",igaz
egy üzleti alkalmazás adatelérési rétegéhez kapcsolódó szervezeti réteget mediátornak nevezzük,igaz
"Üzletmenet folytonosság tervezés esetén az RTO és RPO értékek teljesítése mellett fontos, hogy egyszerű mechanizmusokat kell tervezni baj esetére.",igaz
"Üzletmenet folytonosság tervezés esetén az RTO, és RPO értékek teljesülés mellett fontos, hogy a kieső időnek minimálisnak kell lennie.",igaz
"Üzletmenet folytonosság tervezés esetén az RTO, és RPO értékek teljesülés mellett fontos, hogy ki kell dolgozni a normál működéshez való visszatérés szabályait.",igaz
Üzletmenet folytonosság tervezés esetén az RTO: a katasztrófa bekövetkezése (leállás utáni) összes számítógépes alkalmazás újraindulási ideje.,igaz
Üzletmenet folytonosság tervezés két hatékonysági mutatója az RTO és az RPO.,igaz
