QType,question,Q_1,Q_2,Q_3,Q_4,Q_5,Answers
2,Az anyagtörzs (material master) minden beállítása releváns az anyagtervezés (material planning) szempontjából.,igaz,hamis,,,,0 1
2,Az anyagtörzs (material master) nem minden beállítása releváns az anyagtervezés (material planning) szempontjából.,igaz,hamis,,,,1 0
2,Az anyagtörzsben (material master) a retrográd kivét (backflush) beállításának hatására a készletszint mindig optimális lesz.,igaz,hamis,,,,0 1
2,"Az anyagtörzsben (material master) a retrográd kivét (backflush)beállításának hatására az anyagmozgás automatikusankönyvelődik, amikor a gyártási megbízás visszajelzésre kerül(production order confirmation)",igaz,hamis,,,,1 0
2,"Az anyagtörzsben (material master) a retrográd kivét (blackflush) beállításának hatására az anyagmozgás automatikusan könyvelődik, amikor a gyártási megbízás visszajelzésre kerül (production order confirmation).",igaz,hamis,,,,1 0
2,Az anyagtörzsben (material master) rögzített alapadatok (basic data) alkalmazhatók a teljes vállalatcsoportra (client).,igaz,hamis,,,,1 0
2,Az anyagtörzsben (material master) rögzített alapadatok (basic data) nem alkalmazhatók a teljes vállalatcsoportra (client).,igaz,hamis,,,,0 1
2,Az anyagtörzsben (material master) rögzített alapadatok (basicdata) alkalmazhatók a teljes vállalatcsoportra (client),igaz,hamis,,,,1 0
2,"Az együttműködési rendszerek, és a műszaki tervező rendszerek (CAD), nem sorolhatók a vállalati műveleteket támogató rendszerek közé.",igaz,hamis,,,,0 1
2,"Az elforgatás (pivot) művelete csak a megjelenítést érinti: arra ad lehetőséget, hogy a koordinátatengelyek sorrendjét vagy azok irányát felcseréljük.",igaz,hamis,,,,1 0
2,"Az elosztott rendszerek számos egymástól függetlenül működő, lazán csatolt alkotóelemből épülnek fel.",igaz,hamis,,,,1 0
2,"Az információ lényegében az adatok jelentése, vagyis az adatok értelmezése valamilyen tudás kontextusban.",igaz,hamis,,,,1 0
2,Az információ nem azonos az adatok halmazával.,igaz,hamis,,,,1 0
2,"Az információ olyan adat vagy ismeret, amely viselkedésünket befolyásolni képes.",igaz,hamis,,,,1 0
2,Az információnak a rendszer szempontjából nincsen kulcs szerepe az időben meghozott döntésekben.,igaz,hamis,,,,0 1
2,"Az információs rendszer célja az információk összegyűjtése úgy, hogy közben a vállalat számára egy információs többlet értéket biztosítson",igaz,hamis,,,,1 0
2,"Az információs rendszer erőforrásai: eszközök, emberek, szabványok és eljárások.",igaz,hamis,,,,1 0
2,"Az információs rendszerek alapvető feladata, hogy a döntéshozókat ellássa a vállalat működése szempontjából célszerű döntések meghozatalához szükséges információkkal.",igaz,hamis,,,,1 0
2,Az információs rendszerek különböző folyamatai minden esetben autamatizáltak.,igaz,hamis,,,,0 1
2,"Az információs rendszernek (definíciója alapján) része tárolását és szolgáltatását végző személyek, de nem része a technikai eszközök összessége.",igaz,hamis,,,,0 1
2,"Az információs rendszernek (definíciója alapján) része tárolását és szolgáltatását végző személyek, és tevékenységek és technikai eszközök összessége.",igaz,hamis,,,,1 0
2,"Az információs rendszernek CSAK az a célja, hogy a vállalat számára egy információs többlet értéket biztosításon.",igaz,hamis,,,,0 1
2,Az integrált információs rendszerek követelménye az egységes UI.,igaz,hamis,,,,1 0
2,"Az integrált vállalatirányítási rendszerek bevezetése során nem szükséges a szoftvert az adott vállalat igényeire testre szabni, mivel az integráltságból adódóan ez már korábban meg lett valósítva.",igaz,hamis,,,,0 1
2,Az integrált vállalatirányítási rendszerek bevezetése során szükséges lehet a szoftvert az adott vállalat igényeire testre szabni.,igaz,hamis,,,,1 0
2,Az inverz szabályok formai és tartalmi szabályok keverékei.,igaz,hamis,,,,0 1
2,Az objektív információfelfogás szerint az információ abszolút és semleges.,igaz,hamis,,,,1 0
2,Az objektív információfelfogás szerint az információ nem abszolút és semleges.,igaz,hamis,,,,0 1
2,"Az on-line megoldásos adathiba feltárás előnye, hogy nem költséges.",igaz,hamis,,,,0 1
2,"Az operatív rendszerek lényege az, hogy az összegyűjtött bemeneti adatokat olyan formára hozzák, amely a felhasználók számára megkönnyíti az adott helyzet megfelelő értékelését.",igaz,hamis,,,,0 1
2,"Az operatív rendszereknek nem az a lényege, hogy az összegyűjtött bemeneti adatokat olyanra formára hozzák, amely a felhasználó számára megkönnyíti az adott helyzet megfelelő értékelését.",igaz,hamis,,,,1 0
2,Az átkönyvelés (transfer posting) mindig fizikai anyagmozgással jár.,igaz,hamis,,,,0 1
2,Az átkönyvelés (transfer posting) nem jár feltétlenül fizikai anyagmozgatással.,igaz,hamis,,,,1 0
2,Az áttolás (stock transfer) mindig fizikai anyagmozgatással jár.,igaz,hamis,,,,1 0
2,Az ügyviteli rendszerek nem tartoznak az vállalati információs rendszerek közé.,igaz,hamis,,,,0 1
2,Az üzleti intelligencia kifejezetten az operatív adatbázisok intelligens működésére fókuszáló terület.,igaz,hamis,,,,1 0
2,"Az üzletiintelligencia-rendszerek a döntések meghozatalához szükséges adatok feltárását, összesítését és elemzését végző eszközök.",igaz,hamis,,,,1 0
2,Beszerzési igényből (purchase requisition) tervrendelés (planned order) képezhető.,igaz,hamis,,,,1 0
2,"Csak olyan termék értékesíthető, amelyik szerepel az anyagtörzsben",igaz,hamis,,,,1 0
2,"Csak olyan termék értékesíthető, amelyik van raktáron",igaz,hamis,,,,1 0
2,"Definíciója szerint a szervezet nem ""emberek meghatározott céllal létrejött"" csoportja.",igaz,hamis,,,,0 1
2,Döntéshozatali hierarchia és információ igény szerint a stratégiai vezetés problémaszerkezete jól strukturált.,igaz,hamis,,,,0 1
2,Döntéshozatali hierarchia és információ igény szerint az operatív vezetés problémaszerkezete jól strukturált.,igaz,hamis,,,,1 0
2,"Egy adatból gondolkodás vagy gépi feldolgozás útján új ismeretek és ezzel párhuzamosan újabb információk nyerhetđk. Egy adatnak annál nagyobb az információtartalma, minél kevésbé magától értetđdđ, azaz minél nehezebben lehet elđre kikövetkeztetni.",igaz,hamis,,,,1 0
2,Egy adatminőség felmérést követően maradhatnak fel nem tárt hibák a rendszerben.,igaz,hamis,,,,1 0
2,Egy adott művelet elvégzéséhez szükséges időt egy adottmunkaközpont (work center) határozza meg.,igaz,hamis,,,,0 1
2,Egy beszerzési szervezetet (purchasing organization) minden esetben hozzá kell rendelni egy vállalathoz (company code).,igaz,hamis,,,,0 1
2,Egy beszerzési szervezetet (purchasing organization) nem kellminden esetben hozzárendelni egy vállalathoz (company code).,igaz,hamis,,,,1 0
2,Egy beszerzési szervezetet nem kell minden esetben hozzárendelni egy vállalathoz (company code).,igaz,hamis,,,,1 0
2,Egy egysegnyi munka korulbelul 90%-os pontossagot tud produkalni.,igaz,hamis,,,,1 0
2,Egy kiszállítási pontot (shipping point) raktárhelyhez (storage location) lehet rendelni.,igaz,hamis,,,,0 1
2,Egy kiszállítási pontot (shipping point) üzemekhez (plants) lehetrendelni.,igaz,hamis,,,,1 0
2,Egy költségszámítási körhöz (controlling area) csak egy vállalat(company code) rendelhető.,igaz,hamis,,,,0 1
2,Egy költségszámítási körhöz (controlling area) több vállalat (company code) is rendelhető.,igaz,hamis,,,,1 0
2,Egy rendelési igény (purchase requisition) beszerzésimegrendelésé (purchase order) alakítható.,igaz,hamis,,,,1 0
2,Egy rendszer maga is része lehet egy nagyobb egységnek (rendszernek).,igaz,hamis,,,,1 0
2,Egy rendszer nem lehet része egy nagyobb egységnek (rendszernek).,igaz,hamis,,,,0 1
2,"Egy szervezet koordinációja, ha struktúrális, az a szabályok, szabályzatok betartását követeli meg.",igaz,hamis,,,,0 1
2,"Egy szervezetben a vezetői irányítás megléte nem fontos, sőt elhanyagolható.",igaz,hamis,,,,0 1
2,Egy szállítási rekord létrehozásakor a beszerzéshez és a könyveléshez vonatkozóan nem kell minden releváns adatot egy lépésben megadni.,igaz,hamis,,,,1 0
2,"Egy uzleti celú alkalmazas retegszerkezetenek kialakitasa soran olyan rendszerfelbontasra torekszunk, hogy miden reteg transzparens az osszes felette elhelyezkedo reteg szamara.",igaz,hamis,,,,0 1
2,"Egy vastagkliens megoldásokra épülő vállalati információs rendszer biztonsági szempontból kedvezőbb, mint egy vékonykliensre épülő.",igaz,hamis,,,,0 1
2,Egy vevőtörzs rekord (vendor master record) létrehozásakor abeszerzéshez és könyveléshez vonatkozóan minden relevánsadatot egy lépésben kell megadni.,igaz,hamis,,,,0 1
2,Egy virtuális gép formájában elérhető hardver és operációs rendszer szolgáltatás infrastruktúraszolgáltatásnak tekinthető.,igaz,hamis,,,,1 0
2,"Egy vállalatirányítási rendszer folyamattesztelésének a célja az, hogy feltárja a rendszer teljesítőképességeit a válaszidők és az átbocsátóképesség tekintetében.",igaz,hamis,,,,0 1
2,"Egy vállalatirányítási rendszer folyamattesztelésének a célja az, hogy nem a feldolgozás sebességét, hanem az üzleti folyamatok helyességét és teljességét ellenőrizzük.",igaz,hamis,,,,1 0
2,"Egy vállalatirányítási rendszer teljesítménytesztelésének célja az, hogy megvalósítja-e a specifikációban foglalt funkciókat.",igaz,hamis,,,,0 1
2,"Egy vállalatirányítási rendszer teljesítménytesztelésének célja nem az, hogy megvalósítja-e a specifikációban foglalt funkciókat.",igaz,hamis,,,,1 0
2,Egy értékesítési szervezet (sales organization) csak egy vállalathoz (company code) tartozhat.,igaz,hamis,,,,1 0
2,Egy értékesítési szervezet (sales organization) több vállalathoz (company code) is tartozhat.,igaz,hamis,,,,0 1
2,Egy üzleti alkalmazás adatelérési rétegéhez kapcsolódó szervezeti réteget mediátornak nevezzük.,igaz,hamis,,,,1 0
2,Egy üzleti alkalmazás egyes rétegei különállóan implementálhatóak.,igaz,hamis,,,,1 0
2,"Egy üzleti célú alkalmazás rétegszerkezetének kialakítása során olyan rendszer felbontásra törekszünk, hogy minden réteg csak a két közvetlen szomszédjával álljon kapcsolatban.",igaz,hamis,,,,1 0
2,"Egy üzleti célú alkalmazás rétegszerkezetének kialakítása során olyan rendszer felbontásra törekszünk, hogy minden réteg minden réteggel közvetlen kapcsolatban álljon.",igaz,hamis,,,,0 1
2,"Egy üzleti célú alkalmazás rétegszerkezetének kialakítása során olyan rendszerfelbontásra törekszünk, hogy minden réteg csak a két közvetlen szomszédjával álljon kapcsolatban.",igaz,hamis,,,,1 0
2,"Előfeldolgozásos adathiba feltárás hátránya, hogy kisebb eséllyel kerül hiba a rendszerbe.",igaz,hamis,,,,0 1
2,"Előfeldolgozásos adathiba feltárás hátránya, hogy össze kell szervezni a megfelelő alapfolyamatokkal.",igaz,hamis,,,,1 0
2,Fel lehet venni utólag is az árut eladás (raktárból kiküldéselőtt),igaz,hamis,,,,0 1
2,"Formai adatszabvány az, ami az ismeretek megjelenési formáját szabályozzák.",igaz,hamis,,,,1 0
2,Gyártási megrendelésből (production order) tervrendelés (planed order) képezhető.,igaz,hamis,,,,0 1
2,"Ha történik egy erőforrásmegszűnés, akkor RTO-n múlik, hogy mennyi idő alatt tudom helyreállítani a rendszert, illetve az RPO jelzi azt, hogy mennyi adatvesztést engedek meg.",igaz,hamis,,,,1 0
2,"Helytelen értékekről beszélünk, ha az adathibát a hibásan bevitt adatok, hibásan gyűjtött adat, adatforrás hibás, elmaradt beállítás okozza.",igaz,hamis,,,,1 0
2,"Háttérfeldolgozásos adathiba feltárás esetén előny, hogy beengedi a hibákat.",igaz,hamis,,,,0 1
2,"Háttérfeldolgozásos adathiba feltárás esetén előny, hogy bármelyik rendszerhez csatolható, átalakítás nélkül.",igaz,hamis,,,,1 0
2,"Háttérfeldolgozásos adathiba feltárás esetén előny, hogy mérhető a rendszer adatminősége.",igaz,hamis,,,,1 0
2,"Információnak nevezzük, a valóságra vonatkozó tapasztalatokat, általánosításokat, fogalmakat.",igaz,hamis,,,,0 1
2,"Információs rendszer fő összetevői: Ember (döntéshozó),Rendszerezett információ ,Technikai apparátus (HW, SW)",igaz,hamis,,,,1 0
2,"Információs rendszer technikai megközelítésből az adatok bevétele, tárolása, feldolgozása, rendelkezésre bocsátása, kiadása.",igaz,hamis,,,,1 0
2,"Információs rendszer technikai megközelítéséből az információk bevétele tárolása, feldolgozása, rendelkezésre bocsátása, kiadása.",igaz,hamis,,,,0 1
2,"Információs technológiával működő rendszerekkel szemben funkcionális követelmény a külső, belső fenyegetések elleni védelem",igaz,hamis,,,,0 1
2,Információs technológiával működő rendszerekkel szemben funkcionális követelmény a tárolás módja.,igaz,hamis,,,,1 0
2,Információs technológiával működő rendszerekkel szemben funkcionális követelmény az adatfeldolgozási feladat (algoritmusok).,igaz,hamis,,,,1 0
2,Információs technológiával működő rendszerekkel szemben funkcionális követelmény az ember gép kapcsolat módja.,igaz,hamis,,,,1 0
2,"Integrált vállalatirányítási rendszerrel kapcsolatosan követelmény, hogy jogosultágnak megfelelő hozzáférés.",igaz,hamis,,,,1 0
2,"Integrált vállalatirányítási rendszerrel kapcsolatosan nem követelmény, hogy segítse a rövid és középtávú tervezést",igaz,hamis,,,,0 1
2,"Inverz adatszabvány típus, ha helyes értékre állítjuk fel a szabályt.",igaz,hamis,,,,0 1
2,"Irányitószám, telefonszám (adatfajta kategóriában) azt jelenti, hogy csonkolással földrajzi-közIgatási körzetekre jellemző adat nyerhető.",igaz,hamis,,,,1 0
2,Jellegzetes hibás adatminőség kapcsán ködös definicióként értendő az üres érték.,igaz,hamis,,,,0 1
2,Karakteres adatfajtával minden aritmtikai művelet elvégezthető.,igaz,hamis,,,,0 1
2,"Karakteres: semmiféle művelet nem végezhető velük, adattartalommal nem összefüggő (maximum rendezni tudjuk, pl. ABC..) Pl: földrajzi nevek",igaz,hamis,,,,1 0
2,Komplex információs rendszer nem moduláris módon épül fel.,igaz,hamis,,,,0 1
2,Komplex információs rendszerek kritériuma az egy adatbázison keresztül történő információ csere.,igaz,hamis,,,,1 0
2,"Komplex információs rendszerek kritériumai közé tartozik a duplikáció kizárása, felhasználói jogosultsági rendszer, egységes user interface és a vállalati igény kielégítés.",igaz,hamis,,,,1 0
2,Komplex információs rendszereknél egységes kell hogy legyen a user interface.,igaz,hamis,,,,1 0
2,"Lineáris funkcionális szervezeti forma esetén a törzsegység szakértői véleményt alkotnak, és utasítási joguk is van.",igaz,hamis,,,,0 1
2,Lineáris szervezeti forma összetett és sok az adminisztráció.,igaz,hamis,,,,0 1
2,"Lineáris szervezeti forma: sok adminisztráció, magasak a költségek, a szervezet nem tagolható tovább szélességében és mélységében.",igaz,hamis,,,,0 1
2,"Lineáris szervezetnél: egyszerű kapcsolatok, alacsony költség.",igaz,hamis,,,,1 0
2,"Lineáris szervezetnél: egyszerű kapcsolatok, magas költségek.",igaz,hamis,,,,0 1
2,Magyarországon az előfeldolgozás az elterjedt adathiba feltárási módszer.,igaz,hamis,,,,0 1
2,Magyarországon az háttér-feldolgozásos adathiba a legelterjedtebb.,igaz,hamis,,,,1 0
2,Magyarországon nem a háttérfeldolgozásos adathiba feltárás a legjellemzőbb.,igaz,hamis,,,,0 1
2,"Mező szintű adathiba (értékkészlet, [>150év feletti életkor] )",igaz,hamis,,,,1 0
2,"Minden információ adat, de nem minden adat információ.",igaz,hamis,,,,1 0
2,Napjainkban a vállalatirányitási rendszerei jellemzően háromrétegű architektúrára épülnek,igaz,hamis,,,,1 0
2,"Olyan termék is értékesíthető, ami nem szerepel az anyagtörzsben, mivel lehetőség van annak felvitelére még a számla kiegyenlítése előtt.",igaz,hamis,,,,0 1
2,"Olyan termék is értékesíthető, mely nincs raktáron jelenleg",igaz,hamis,,,,0 1
2,Operatív működést képező feladatok: tranzakció feldolgozás.,igaz,hamis,,,,1 0
2,RPO jelentése Recovery Point objective,igaz,hamis,,,,1 0
2,RTO jelentése Recovery Time objective.,igaz,hamis,,,,1 0
2,RTP jelentese Recovery Time Protocol.,igaz,hamis,,,,1 0
2,Shipping point több üzemhez is hozzá lehet rendelve .,igaz,hamis,,,,1 0
2,Tervrendelésből (planned order) gyártási megrendelés(production order) képezhető.,igaz,hamis,,,,1 0
2,Transportation planning point csak egy üzemhez tartozhat.,igaz,hamis,,,,1 0
2,Vezetői jelentéseknél 3-4 %-os eltérés engedhető csak meg.,igaz,hamis,,,,0 1
2,Vezetőket támogató rendszerek kategóriába tartoznak a döntéstámogató rendszerek.,igaz,hamis,,,,1 0
2,"Vállalati műveleteket támogató rendszerek a Adatbeviteli rendszerek (RFID, vonalkód, QR).",igaz,hamis,,,,1 0
2,Vállalati műveleteket támogató rendszerek a műszaki tervező rendszerek (CAD),igaz,hamis,,,,1 0
2,"a vállalati alkalmazások között megvalósított integráció jellemzői eltérnek aszerint, hogy azt melyik rétegben végzik el",igaz,hamis,,,,1 0
2,egy üzleti alkalmazás adatelérési rétegéhez kapcsolódó szervezeti réteget mediátornak nevezzük,igaz,hamis,,,,1 0
2,"Üzletmenet folytonosság tervezés esetén az RTO és RPO értékek teljesítése mellett fontos, hogy egyszerű mechanizmusokat kell tervezni baj esetére.",igaz,hamis,,,,1 0
2,"Üzletmenet folytonosság tervezés esetén az RTO, és RPO értékek teljesülés mellett fontos, hogy a kieső időnek minimálisnak kell lennie.",igaz,hamis,,,,1 0
2,"Üzletmenet folytonosság tervezés esetén az RTO, és RPO értékek teljesülés mellett fontos, hogy ki kell dolgozni a normál működéshez való visszatérés szabályait.",igaz,hamis,,,,1 0
2,Üzletmenet folytonosság tervezés esetén az RTO: a katasztrófa bekövetkezése (leállás utáni) összes számítógépes alkalmazás újraindulási ideje.,igaz,hamis,,,,1 0
2,Üzletmenet folytonosság tervezés két hatékonysági mutatója az RTO és az RPO.,igaz,hamis,,,,1 0
